,company,Founded Date,website,Headquarters Location,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,age,founding_year,org_uuid,snapshot_in_window
179,BlueFi,2022-03-12,http://blue.fi/,"Tampa, Florida, United States","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",2.0,Seed,2022-08-03,3200000.0,Seed,3300000.0,Private,,,,,,1,2022,5048,False
185,Aiberry,2019-01-01,https://www.aiberry.io/,"Bellevue, Washington, United States",Health Care,1.0,Seed,2023-03-08,8000000.0,Seed,8000000.0,Private,,,,,,4,2019,5049,False
186,Mindstate Design Labs,2021-01-01,https://www.mindstate.design,"Pittsburgh, Pennsylvania, United States","Biotechnology, Health Care, Science and Engineering",3.0,Seed,2023-01-01,,Seed,11625000.0,Private,,,,,,2,2021,5050,False
190,Omni Creator Products,2021-01-01,https://ocp.gg,"Raleigh, North Carolina, United States",Gaming,2.0,Early Stage Venture,2022-06-06,16250000.0,Series A,20550000.0,Private,,,,,,2,2021,5051,False
191,Radish Health,2019-10-01,https://www.radish.health/,"New York, New York, United States","Administrative Services, Health Care",3.0,Seed,2022-03-24,4000000.0,Seed,4650000.0,Private,,,,,,4,2019,5052,False
194,Symbionics,2023-01-01,https://symbionics.co,"Cambridge, Massachusetts, United States","Design, Hardware, Science and Engineering",1.0,Seed,2023-10-24,4103911.0,Angel,4103911.0,Private,,,,,,0,2023,5053,False
198,Path Network,2018-01-01,https://path.net,"Tempe, Arizona, United States","Content and Publishing, Information Technology, Internet Services, Other, Privacy and Security",3.0,Seed,2019-04-12,1000000.0,Seed,5000000.0,Private,,,,,,5,2018,5054,False
200,Advisor Credit Exchange,2018-01-01,https://www.advisorcreditexchange.com,"Berwyn, Pennsylvania, United States","Financial Services, Professional Services",4.0,,2022-07-13,23735954.0,Venture - Series Unknown,31295954.0,Private,,,,,,5,2018,5055,False
202,Platformatic,2022-01-01,https://platformatic.dev/,"San Francisco, California, United States","Information Technology, Internet Services",2.0,Seed,2023-06-01,3500000.0,Seed,3500000.0,Private,,,,,,1,2022,5056,False
206,Kinjo,2020-01-01,https://kinjo.com/,"Austin, Texas, United States","Education, Software",1.0,Seed,2023-08-21,6500000.0,Seed,6500000.0,Private,,,,,,3,2020,5057,False
208,Rares.io,2020-04-20,https://rares.io,"Las Vegas, Nevada, United States","Financial Services, Lending and Investments",3.0,,2022-02-08,5162033.0,Venture - Series Unknown,9282033.0,Private,,,0.0,5.0,Computing; Calculating,3,2020,5058,False
212,OneLayer,2021-09-01,https://one-layer.com/,"Boston, Massachusetts, United States","Information Technology, Privacy and Security",2.0,Seed,2022-09-15,6500000.0,Seed,14700000.0,Private,,,,,,2,2021,5059,False
218,Urban SDK,2018-03-31,https://urbansdk.com,"Jacksonville, Florida, United States","Data and Analytics, Government and Military, Privacy and Security, Real Estate, Science and Engineering, Software, Transportation",4.0,Seed,2023-07-05,,Seed,4570000.0,Private,,,,,,5,2018,5060,False
224,Kojin Therapeutics,2020-01-01,https://kojintx.com,"Cambridge, Massachusetts, United States","Biotechnology, Health Care, Science and Engineering",1.0,Early Stage Venture,2021-06-09,60000000.0,Series A,60000000.0,Private,,,2.0,1.0,Medical Or Veterinary Science; Hygiene,3,2020,5061,False
227,PixieBrix,2021-01-01,https://www.pixiebrix.com,"New York, New York, United States","Manufacturing, Science and Engineering, Software",2.0,Early Stage Venture,2022-07-26,6900000.0,Series A,10400000.0,Private,,,0.0,1.0,,2,2021,5062,False
229,Blackbird,2022-01-01,https://www.blackbird.xyz,"New York, New York, United States","Information Technology, Sales and Marketing, Travel and Tourism",2.0,Early Stage Venture,2023-10-04,24000000.0,Series A,35000000.0,Private,,,0.0,0.0,,1,2022,5063,False
230,Candor Technology,2018-01-01,https://www.candortechnology.com,"Alpharetta, Georgia, United States","Financial Services, Software",3.0,,2022-10-18,10000058.0,Venture - Series Unknown,23850058.0,Private,,,,,,5,2018,5064,False
232,SignalRank Corporation,2021-06-01,https://signalrank.co,"Palo Alto, California, United States","Data and Analytics, Financial Services, Lending and Investments, Software",2.0,Early Stage Venture,2023-03-31,4000000.0,Series A,9000000.0,Private,,,,,,2,2021,5065,False
237,EasyDMARC,2018-02-01,https://easydmarc.com,"Middletown, Delaware, United States","Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security, Software",2.0,Seed,2022-08-09,2300000.0,Seed,2300000.0,Private,,,0.0,2.0,,5,2018,5066,False
242,WriteSea,2021-01-01,https://writesea.com,"New York, New York, United States","Internet Services, Science and Engineering, Software",2.0,Seed,2022-12-29,2030108.0,Pre-Seed,2055108.0,Private,,,,,,2,2021,5067,False
245,Hook,2023-01-01,https://www.hook.xyz,"New York, New York, United States","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other",1.0,Seed,2023-06-28,3000000.0,Seed,3000000.0,Private,,,,,,0,2023,5068,False
247,i-80 Gold,2021-01-01,https://i80gold.com,"Reno, Nevada, United States",Natural Resources,4.0,IPO,2023-07-18,27949645.0,Post-IPO Equity,281708268.0,Public,2021-04-23,,,,,2,2021,5069,False
249,Glystn,2021-01-01,https://glystn.com,"San Francisco, California, United States","Media and Entertainment, Music and Audio",1.0,Seed,2023-06-15,4000000.0,Seed,4000000.0,Private,,,,,,2,2021,5070,False
250,TRYKO TECHNOLOGIES,2023-02-08,https://trykotech.com,"Palo Alto, California, United States",Transportation,3.0,Seed,2023-06-19,,Seed,800000.0,Private,,,,,,0,2023,5071,False
251,Pro Platforms,2022-10-01,https://www.proplatforms.com,"Miami, Florida, United States","Financial Services, Real Estate, Software",1.0,,2023-04-10,4700000.0,Venture - Series Unknown,4700000.0,Private,,,,,,1,2022,5072,False
255,Flume,2020-05-26,https://flumeinternet.com,"New York, New York, United States","Information Technology, Internet Services",3.0,,2023-01-09,1000001.0,Venture - Series Unknown,5210001.0,Private,,,,,,3,2020,5073,False
257,Ayble Health,2020-01-01,https://www.ayblehealth.com/,"Boston, Massachusetts, United States",Health Care,1.0,Seed,2022-11-16,4600000.0,Seed,4600000.0,Private,,,,,,3,2020,5074,False
264,Raven,2018-01-01,https://ravensr.com,"Pinedale, Wyoming, United States","Manufacturing, Natural Resources, Sustainability",5.0,,2023-07-25,,Venture - Series Unknown,21779453.0,Private,,,13.0,1.0,"Petroleum, Gas Or Coke Industries; Technical Gases Containing Carbon Monoxide; Fuels; Lubricants; Peat",5,2018,5075,False
267,Icon Savings Plan,2019-01-01,https://www.iconsavingsplan.com/,"San Francisco, California, United States","Community and Lifestyle, Financial Services, Other",3.0,Seed,2022-10-30,6000000.0,Seed,12200000.0,Private,,,0.0,2.0,,4,2019,5076,False
270,Nodal Power,2021-01-01,https://www.nodalpower.com,"Salt Lake City, Utah, United States",Energy,1.0,Seed,2023-08-21,13000000.0,Seed,13000000.0,Private,,,,,,2,2021,5077,False
271,AavantiBio,2020-01-01,https://www.aavantibio.com/,"Cambridge, Massachusetts, United States","Biotechnology, Health Care, Science and Engineering",1.0,M&A,2020-10-22,107000000.0,Series A,107000000.0,Private,,,,,,3,2020,5078,False
274,XY Retail,2018-05-01,https://www.xyretail.com/,"New York, New York, United States","Commerce and Shopping, Hardware, Software",1.0,Seed,2022-06-30,4000000.0,Seed,4000000.0,Private,,,,,,5,2018,5079,False
283,Factor,2018-01-01,https://www.factor.io,"Cambridge, Massachusetts, United States","Consumer Electronics, Hardware, Internet Services",2.0,Seed,2022-12-01,6000000.0,Seed,12000000.0,Private,,,,,,5,2018,5080,False
285,Teambuilder,2021-03-01,http://www.teambuilder.io,"Newtown, Connecticut, United States","Administrative Services, Health Care, Information Technology, Software",3.0,Seed,2023-08-30,895000.0,Seed,3995000.0,Private,,,0.0,1.0,,2,2021,5081,False
287,Polybase,2022-01-01,https://polybase.xyz,"New York, New York, United States","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Privacy and Security, Software",2.0,Seed,2023-02-22,2000000.0,Pre-Seed,2000000.0,Private,,,,,,1,2022,5082,False
294,RoboTire,2018-11-01,https://robotire.com,"Plymouth, Michigan, United States","Artificial Intelligence, Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software, Transportation",7.0,Early Stage Venture,2021-10-07,10650000.0,Series A,10800000.0,Private,,,,,,5,2018,5083,False
296,Clove,2018-02-01,http://www.goclove.com,"Philadelphia, Pennsylvania, United States","Commerce and Shopping, Consumer Goods, Health Care",1.0,Seed,2019-04-30,1500000.0,Seed,1500000.0,Private,,,,,,5,2018,5084,False
303,Fern,2022-01-01,https://www.buildwithfern.com/,"New York, New York, United States","Data and Analytics, Information Technology, Software",1.0,Seed,2023-04-05,500000.0,Pre-Seed,500000.0,Private,,,0.0,0.0,,1,2022,5085,False
306,Hero Journey Club,2022-01-01,https://www.herojourney.club,"San Francisco, California, United States",Health Care,1.0,,2023-07-31,14624993.0,Venture - Series Unknown,14624993.0,Private,,,,,,1,2022,5086,False
309,Geminus,2018-11-01,https://www.geminus.ai/,"Cambridge, Massachusetts, United States","Artificial Intelligence, Data and Analytics, Energy, Hardware, Natural Resources, Science and Engineering, Software, Sustainability",3.0,Seed,2022-11-09,,Non-equity Assistance,9900000.0,Private,,,,,,5,2018,5087,False
311,Vita Therapeutics,2018-01-01,https://www.vitatx.com/,"Baltimore, Maryland, United States","Biotechnology, Health Care, Science and Engineering",2.0,Early Stage Venture,2022-10-12,31000000.0,Series B,63000000.0,Private,,,4.0,0.0,Medical Or Veterinary Science; Hygiene,5,2018,5088,False
313,Solvo,2020-01-01,https://www.solvo.cloud,"Palo Alto, California, United States","Hardware, Information Technology, Internet Services, Privacy and Security, Software",2.0,Seed,2020-10-20,,Non-equity Assistance,3000000.0,Private,,,,,,3,2020,5089,False
317,Wonderment,2020-01-01,https://www.wonderment.com,"Boston, Massachusetts, United States","Apps, Commerce and Shopping, Mobile, Other, Software",1.0,Seed,2022-01-31,6000000.0,Seed,6000000.0,Private,,,,,,3,2020,5090,False
319,Play,2019-01-01,https://www.createwithplay.com/,"New York, New York, United States","Apps, Design, Internet Services, Mobile, Software",2.0,Seed,2021-04-28,6111096.0,Seed,9111096.0,Private,,,,,,4,2019,5091,False
323,SecZetta,2019-08-30,http://www.seczetta.com,"Fall River, Massachusetts, United States","Information Technology, Privacy and Security, Professional Services, Software",2.0,M&A,2021-09-30,20500000.0,Series B,30500000.0,Private,,,,,,4,2019,5092,False
326,Athena Security,2018-01-01,http://athena-security.com,"Austin, Texas, United States","Administrative Services, Artificial Intelligence, Data and Analytics, Education, Hardware, Information Technology, Privacy and Security, Science and Engineering, Software",2.0,Seed,2019-06-13,5500000.0,Seed,5600000.0,Private,,,0.0,1.0,,5,2018,5093,False
328,Quiltt,2020-01-01,https://quiltt.io,"Dallas, Texas, United States","Financial Services, Lending and Investments, Software",3.0,Seed,2022-07-11,4000000.0,Seed,4000000.0,Private,,,,,,3,2020,5094,False
331,Fizz,2021-01-01,https://www.joinfizz.com/,"Cambridge, Massachusetts, United States","Financial Services, Lending and Investments, Payments",1.0,Seed,2021-08-31,125000.0,Pre-Seed,125000.0,Private,,,,,,2,2021,5095,False
335,Fernway,2018-01-01,https://www.fernway.com/,"Northampton, Massachusetts, United States","Agriculture and Farming, Commerce and Shopping, Community and Lifestyle, Food and Beverage, Health Care",2.0,,2023-08-09,4832539.0,Debt Financing,7720539.0,Private,,,,,,5,2018,5096,False
336,Astro,2019-01-01,https://astro.build,"San Francisco, California, United States","Design, Software",1.0,Seed,2022-01-12,7000000.0,Seed,7000000.0,Private,,,,,,4,2019,5097,False
339,Secro,2021-01-01,https://secro.io/,"Wilmington, Delaware, United States","Financial Services, Payments, Privacy and Security, Professional Services, Software, Transportation",2.0,Seed,2023-04-27,3600000.0,Seed,7849632.0,Private,,,,,,2,2021,5098,False
341,Truterra,2018-01-01,https://www.truterraag.com,"Hills, Minnesota, United States","Agriculture and Farming, Sustainability",1.0,,2022-10-02,90000000.0,Venture - Series Unknown,90000000.0,Private,,,,,,5,2018,5099,False
343,Flymachine,2020-01-01,https://www.flymachine.com/,"Berkeley, California, United States","Events, Media and Entertainment",1.0,,2021-07-14,21000000.0,Venture - Series Unknown,21000000.0,Private,,,0.0,0.0,,3,2020,5100,False
351,iApartments,2018-01-01,https://www.iapts.com/,"Tampa, Florida, United States","Apps, Consumer Electronics, Internet Services, Real Estate, Software",1.0,,2021-10-19,19173196.0,Venture - Series Unknown,19173196.0,Private,,,0.0,1.0,,5,2018,5101,False
357,Soelect,2018-01-01,https://www.soelect.com/,"Greensboro, North Carolina, United States","Energy, Manufacturing, Science and Engineering, Transportation",3.0,Early Stage Venture,2022-02-03,11000000.0,Series A,12000000.0,Private,,,5.0,0.0,Basic Electric Elements,5,2018,5102,False
362,Lean Financial,2020-01-01,https://www.withlean.com/,"San Diego, California, United States",Financial Services,4.0,M&A,2022-06-03,4500000.0,Debt Financing,10100000.0,Private,,,0.0,0.0,,3,2020,5103,False
363,Alga Biosciences,2021-07-19,https://www.alga.bio/,"San Francisco, California, United States","Agriculture and Farming, Biotechnology, Science and Engineering",3.0,Seed,2023-04-06,4000000.0,Seed,4000000.0,Private,,,1.0,0.0,"Foods Or Foodstuffs; Their Treatment, Not Covered By Other Classes",2,2021,5104,False
366,King Energy,2019-01-01,https://www.kingenergy.com,"San Luis Obispo, California, United States","Energy, Natural Resources, Real Estate, Sustainability",1.0,,2020-10-27,4599989.0,Venture - Series Unknown,4599989.0,Private,,,,,,4,2019,5105,False
370,Omnia Fishing,2018-06-01,https://www.omniafishing.com/,"Minneapolis, Minnesota, United States","Commerce and Shopping, Information Technology, Sports",4.0,,2022-03-10,4000000.0,Venture - Series Unknown,8250147.0,Private,,,,,,5,2018,5106,False
372,Goodcall AI Inc,2021-02-01,http://www.goodcall.com/,"Cupertino, California, United States","Artificial Intelligence, Data and Analytics, Hardware, Other, Professional Services, Science and Engineering, Software",2.0,Seed,2021-09-01,4000000.0,Pre-Seed,4000000.0,Private,,,0.0,1.0,,2,2021,5107,False
378,Moxie,2020-04-01,https://moxie.xyz,"Miami, Florida, United States","Health Care, Internet Services, Sports",3.0,Seed,2022-01-12,2700000.0,Seed,11100000.0,Private,,,0.0,3.0,,3,2020,5108,False
379,StepZen,2020-01-01,https://www.stepzen.com/,"Santa Clara, California, United States","Data and Analytics, Information Technology, Software",1.0,M&A,2020-12-22,8000000.0,Seed,8000000.0,Private,,,,,,3,2020,5109,False
381,Humans Anonymous,2021-01-01,https://humansanon.com/,"Los Angeles, California, United States","Apps, Community and Lifestyle, Health Care, Media and Entertainment, Mobile, Music and Audio, Software",2.0,Seed,2023-01-01,1200000.0,Pre-Seed,2900000.0,Private,,,0.0,1.0,,2,2021,5110,False
385,Gamma Biosciences,2019-01-01,https://www.gammabiosciences.com/,"Menlo Park, California, United States","Biotechnology, Health Care, Science and Engineering",1.0,Private Equity,2020-02-19,200000000.0,Private Equity,200000000.0,Private,,,,,,4,2019,5111,False
386,Pest Share,2021-01-01,https://pestshare.com/,"Nampa, Idaho, United States","Financial Services, Real Estate",2.0,Seed,2023-07-27,5310000.0,Seed,6310000.0,Private,,,0.0,2.0,,2,2021,5112,False
387,TravelX,2021-01-01,https://www.travelx.io/,"Miami, Florida, United States","Blockchain and Cryptocurrency, Internet Services, Other, Travel and Tourism",1.0,Seed,2022-03-15,10000000.0,Seed,10000000.0,Private,,,0.0,2.0,,2,2021,5113,False
388,StartX,2021-09-01,https://www.thestartx.com,"Middletown, Delaware, United States","Apps, Artificial Intelligence, Commerce and Shopping, Community and Lifestyle, Data and Analytics, Financial Services, Information Technology, Lending and Investments, Media and Entertainment, Other, Professional Services, Science and Engineering, Social Impact, Software",1.0,Seed,2021-09-01,1000000.0,Seed,1000000.0,Private,,,,,,2,2021,5114,False
389,Pinemelon.com,2021-06-01,https://pinemelon.com/,"Denver, Colorado, United States","Agriculture and Farming, Commerce and Shopping, Food and Beverage, Internet Services, Other, Transportation",2.0,,2023-01-13,,Venture - Series Unknown,7000000.0,Private,,,,,,2,2021,5115,False
396,Deux Foods,2020-01-01,https://www.eatdeux.com/,"Los Angeles, California, United States",Food and Beverage,4.0,Seed,2022-07-27,,Seed,1000000.0,Private,,,0.0,7.0,,3,2020,5116,False
397,The Games Fund,2020-04-15,http://gamesfund.vc,"Los Angeles, California, United States",Gaming,,,,,,,Private,,,,,,3,2020,5117,False
398,MD Ally,2019-01-01,https://www.mdally.com,"New York, New York, United States","Government and Military, Health Care, Mobile, Navigation and Mapping, Software",4.0,Seed,2023-04-01,2000000.0,Seed,10500000.0,Private,,,0.0,1.0,,4,2019,5118,False
400,Trilon Group,2021-01-01,https://www.trilongroup.com/,"Denver, Colorado, United States","Professional Services, Science and Engineering",1.0,Private Equity,2022-02-01,200000000.0,Private Equity,200000000.0,Private,,,,,,2,2021,5119,False
