,company,Founded Date,website,Headquarters Location,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,age,founding_year,org_uuid,snapshot_in_window
19,Convesio,2018-02-01,https://convesio.com/,"San Francisco, California, United States","Information Technology, Internet Services, Software",3.0,Seed,2021-09-28,750000.0,Seed,1636900.0,Private,,,,,,5,2018,11172,False
21,Charlie Health,2020-01-01,https://www.charliehealth.com,"Bozeman, Montana, United States",Health Care,1.0,Seed,2020-06-04,850000.0,Seed,850000.0,Private,,,0,0.0,,3,2020,11173,False
23,Odyssey Semiconductor Technologies,2019-01-01,https://www.odysseysemi.com,"Ithaca, New York, United States","Hardware, Manufacturing, Science and Engineering",2.0,,2021-04-01,5000000.0,Venture - Series Unknown,7502018.0,Private,,,,,,4,2019,11174,False
24,Spoonful,2018-02-01,https://spoonfulapp.com,"Oakland, California, United States","Apps, Food and Beverage, Health Care, Mobile, Software",2.0,Seed,2020-06-01,500000.0,Pre-Seed,500000.0,Private,,,,,,5,2018,11175,False
25,OLY.AI,2022-04-29,http://www.OLY.AI,"Los Angeles, California, United States","Artificial Intelligence, Data and Analytics, Science and Engineering, Software",1.0,Seed,2023-10-05,50000.0,Pre-Seed,50000.0,Private,,,0,0.0,,1,2022,11176,False
27,Uptick,2018-05-07,https://www.uptick.co,"New York, New York, United States","Blockchain and Cryptocurrency, Financial Services, Payments, Professional Services, Software",2.0,Seed,2023-02-06,400000.0,Pre-Seed,500000.0,Private,,,0,1.0,,5,2018,11177,False
30,MRI Online,2019-01-01,https://mrionline.com/,"Cincinnati, Ohio, United States","Education, Health Care, Software",1.0,Seed,2021-07-29,2500000.0,Seed,2500000.0,Private,,,0,1.0,,4,2019,11178,False
32,Atelier,2021-11-01,https://www.atelier-app.com/,"Carbondale, Colorado, United States","Commerce and Shopping, Design, Real Estate, Software, Sustainability",1.0,Seed,2023-09-01,80000.0,Pre-Seed,80000.0,Private,,,,,,2,2021,11179,False
36,PleoPharma,2020-01-01,https://www.pleopharma.com/,"Phoenixville, Pennsylvania, United States",Health Care,1.0,,2022-05-06,11122252.0,Venture - Series Unknown,11122252.0,Private,,,2,0.0,Medical Or Veterinary Science; Hygiene,3,2020,11180,False
37,Mmmly,2020-08-01,https://www.eatmmmly.com/,"New York, New York, United States","Commerce and Shopping, Food and Beverage",1.0,Seed,2022-02-10,600000.0,Seed,600000.0,Private,,,,,,3,2020,11181,False
41,Myosana Therapeutics,2018-01-01,https://www.myosanatherapeutics.com/,"Seattle, Washington, United States","Biotechnology, Health Care, Science and Engineering",3.0,Seed,2022-12-07,5000000.0,Seed,6350480.0,Private,,,,,,5,2018,11182,False
42,La Wawa,2021-10-01,https://www.enlawawa.com,"Dover, Delaware, United States",Transportation,3.0,Seed,2023-03-17,,Non-equity Assistance,2500000.0,Private,,,,,,2,2021,11183,False
47,Cratoflow,2019-01-01,https://www.cratoflow.com/,"Los Angeles, California, United States","Artificial Intelligence, Data and Analytics, Science and Engineering, Software",2.0,Seed,2022-07-01,350000.0,Pre-Seed,450000.0,Private,,,,,,4,2019,11184,False
51,Enspira,2018-01-01,https://www.enspirahr.com,"Palm Springs, California, United States","Administrative Services, Professional Services",6.0,Seed,2023-03-17,50000.0,Seed,885000.0,Private,,,0,2.0,,5,2018,11185,False
60,Avid Ventures,2020-01-01,http://www.avidventures.com,"New York, New York, United States","Financial Services, Lending and Investments, Professional Services",,,,,,,Private,,,,,,3,2020,11186,False
62,b atomic!,2019-01-01,https://www.batomic.com,"Solon, Ohio, United States",Financial Services,4.0,Seed,2022-07-25,,Seed,4200000.0,Private,,,,,,4,2019,11187,False
71,Kleeen Software,2018-06-06,https://kleeen.software,"San Jose, California, United States","Artificial Intelligence, Data and Analytics, Design, Information Technology, Science and Engineering, Software",4.0,Seed,2021-02-10,3750000.0,Seed,5300000.0,Private,,,4,0.0,Computing; Calculating,5,2018,11188,False
73,E25Bio,2018-01-01,http://www.e25bio.com,"Cambridge, Massachusetts, United States","Biotechnology, Health Care, Science and Engineering",3.0,,2020-08-13,5820000.0,Grant,10120000.0,Private,,,3,0.0,Testing,5,2018,11189,False
80,Validity Finance,2018-01-01,https://validity-finance.com/,"New York, New York, United States","Financial Services, Professional Services",2.0,Private Equity,2019-09-19,50000000.0,Private Equity,300000000.0,Private,,,,,,5,2018,11190,False
86,EasyBins,2018-11-01,https://www.easybins.com,"Springdale, Arkansas, United States","Commerce and Shopping, Food and Beverage, Transportation",6.0,,2022-05-11,2375000.0,Venture - Series Unknown,6725000.0,Private,,,,,,5,2018,11191,False
95,Little Place Labs,2021-07-29,https://www.littleplace.com/,"Houston, Texas, United States","Artificial Intelligence, Data and Analytics, Hardware, Software, Transportation",2.0,Seed,2023-04-18,,Non-equity Assistance,200000.0,Private,,,,,,2,2021,11192,False
110,Intown Golf Club,2019-01-01,https://www.intowngolfclub.com,"Atlanta, Georgia, United States","Sports, Travel and Tourism",1.0,Seed,2020-09-02,2350000.0,Seed,2350000.0,Private,,,,,,4,2019,11193,False
113,Method Financial,2019-01-01,https://methodfi.com,"Austin, Texas, United States","Financial Services, Lending and Investments, Payments",3.0,Early Stage Venture,2023-01-26,16000000.0,Series A,18500000.0,Private,,,0,0.0,,4,2019,11194,False
114,SkyAMP,2020-08-10,https://www.skyamp.com,"Davenport, Iowa, United States","Hardware, Information Technology, Internet Services, Manufacturing, Messaging and Telecommunications, Mobile",2.0,Seed,2022-10-10,,Seed,2500000.0,Private,,,0,1.0,,3,2020,11195,False
115,Wolf Spring,2020-01-01,https://www.wolfspring.dog,"New York, New York, United States","Community and Lifestyle, Food and Beverage, Health Care",2.0,Seed,2021-08-24,2000000.0,Seed,2000000.0,Private,,,0,2.0,,3,2020,11196,False
116,Spark,2021-01-01,https://www.playspark.art,"Santa Monica, California, United States","Media and Entertainment, Software",1.0,Seed,2022-11-14,2500000.0,Seed,2500000.0,Private,,,,,,2,2021,11197,False
119,Data Dive,2021-07-01,https://www.datadive.tools,"Doral, Florida, United States","Commerce and Shopping, Software",1.0,Seed,2021-09-22,900000.0,Pre-Seed,900000.0,Private,,,,,,2,2021,11198,False
126,NFT Brands,2021-09-01,http://www.nftbrandsinc.com/,"Beverly Hills, California, United States","Blockchain and Cryptocurrency, Financial Services, Media and Entertainment, Other, Payments, Software",1.0,,2022-07-01,2500000.0,Venture - Series Unknown,2500000.0,Private,,,0,0.0,,2,2021,11199,False
129,Travelsist,2018-01-18,https://travelsist.com,"Atlanta, Georgia, United States","Software, Travel and Tourism",3.0,Seed,2022-03-02,600000.0,Seed,850000.0,Private,,,,,,5,2018,11200,False
