,text_index,text_id,keyword,position,position_pct
34615,4291,4291,ai,569,71.30325814536342
34616,4291,4291,ai,582,72.93233082706767
34617,4291,4291,ai,723,90.6015037593985
34618,4292,4292,ai,33,3.8062283737024223
34619,4292,4292,ai,81,9.342560553633218
34620,4292,4292,ai,123,14.186851211072666
34621,4292,4292,ai,149,17.185697808535178
34622,4292,4292,ai,272,31.372549019607842
34623,4292,4292,ai,334,38.523644752018456
34624,4292,4292,ai,342,39.44636678200692
34625,4292,4292,ai,381,43.944636678200695
34626,4292,4292,ai,437,50.403690888119954
34627,4292,4292,ai,469,54.094579008073815
34628,4292,4292,ai,472,54.4405997693195
34629,4292,4292,ai,549,63.32179930795848
34630,4292,4292,ai,654,75.4325259515571
34631,4292,4292,ai,700,80.73817762399077
34632,4292,4292,ai,775,89.38869665513263
34633,4293,4293,ai,111,15.879828326180256
34634,4293,4293,ai,294,42.06008583690987
34635,4293,4293,ai,546,78.11158798283262
34636,4293,4293,ai,571,81.68812589413447
34637,4293,4293,ai,571,81.68812589413447
34638,4294,4294,ai,208,25.806451612903224
34639,4294,4294,ai,382,47.39454094292804
34640,4294,4294,ai,547,67.86600496277916
34641,4295,4295,ai,5,0.628140703517588
34642,4295,4295,ai,50,6.281407035175879
34643,4295,4295,ai,92,11.557788944723619
34644,4295,4295,ai,151,18.969849246231156
34645,4295,4295,ai,160,20.100502512562816
34646,4295,4295,ai,289,36.30653266331658
34647,4295,4295,ai,320,40.20100502512563
34648,4295,4295,ai,349,43.84422110552764
34649,4295,4295,ai,594,74.62311557788944
34650,4295,4295,ai,605,76.00502512562815
34651,4295,4295,ml,643,80.77889447236181
34652,4295,4295,ai,652,81.90954773869346
34653,4295,4295,ai,655,82.28643216080403
34654,4295,4295,ai,702,88.19095477386935
34655,4295,4295,ai,732,91.95979899497488
34656,4295,4295,ai,756,94.9748743718593
34657,4295,4295,ai,778,97.73869346733667
34658,4296,4296,machine learning,27,30.681818181818183
34659,4297,4297,ai,24,6.976744186046512
34660,4297,4297,ai,70,20.348837209302324
34661,4297,4297,ai,172,50.0
