,Founded Date,Industry Groups,Number of Funding Rounds,Last Funding Amount Currency (in USD),Total Funding Amount Currency (in USD),age,founding_year,source_x,text_len,closest_snapshot,ai_keyword_count,matched_keywords,Headquarters State,funding_bin,keyword_bin,fund_success,AI_bin,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Last Funding Type ORD,Series_A_bin,Number of Employees ORD
2909,2021-01-01,Health Care,0.0,0.0,0.0,3,2021,0,6697.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211206011650/https://balancehealth.com/', 'timestamp': '20211206011650'}",0.0,0,California,False,False,False,False,False,False,False,True,False,0.0,False,3.0
2913,2018-05-20,"Community and Lifestyle, Food and Beverage, Health Care, Other",0.0,0.0,0.0,5,2018,0,3009.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20180824095044/http://www.ganjawash.com/', 'timestamp': '20180824095044'}",0.0,0,Colorado,False,False,False,False,True,False,False,False,False,0.0,False,1.0
2914,2019-01-01,"Biotechnology, Health Care, Science and Engineering",1.0,0.0,0.0,5,2019,0,1330.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220222170705/https://egrettherapeutics.com/', 'timestamp': '20220222170705'}",0.0,0,New York,False,False,False,False,False,True,False,False,False,2.0,False,1.0
2915,2019-01-21,"Financial Services, Information Technology",0.0,0.0,0.0,5,2019,0,2646.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20200804144510/https://instafins.com/', 'timestamp': '20200804144510'}",0.0,0,Delaware,False,False,False,False,False,True,False,False,False,0.0,False,2.0
2916,2019-01-01,"Commerce and Shopping, Consumer Goods, Design, Manufacturing, Natural Resources",0.0,0.0,0.0,5,2019,0,22901.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20211231103610/https://ecolson.com/', 'timestamp': '20211231103610'}",0.0,0,New York,False,False,False,False,False,True,False,False,False,0.0,False,1.0
2919,2019-01-01,"Financial Services, Lending and Investments, Media and Entertainment",0.0,0.0,0.0,5,2019,0,9667.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20191218175723/https://www.nzscapital.com/', 'timestamp': '20191218175723'}",0.0,0,Colorado,False,False,False,False,False,True,False,False,False,0.0,False,1.0
2920,2019-01-01,"Media and Entertainment, Video",0.0,0.0,0.0,5,2019,0,3836.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20201021012532/https://mindhacks.tv/zeke-camusio/', 'timestamp': '20201021012532'}",0.0,0,Oregon,False,False,False,False,False,True,False,False,False,0.0,False,1.0
2922,2020-01-01,"Commerce and Shopping, Community and Lifestyle, Sports",0.0,0.0,0.0,4,2020,0,4886.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20210101180748/https://www.sporforya.com/', 'timestamp': '20210101180748'}",0.0,0,Texas,False,False,False,False,False,False,True,False,False,0.0,False,2.0
2925,2020-01-01,"Advertising, Sales and Marketing",0.0,0.0,0.0,4,2020,0,1571.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220203025900/https://www.hawk-arrow.com/', 'timestamp': '20220203025900'}",0.0,0,Florida,False,False,False,False,False,False,True,False,False,0.0,False,1.0
2927,2019-01-01,"Education, Financial Services, Media and Entertainment, Payments, Professional Services",0.0,0.0,0.0,5,2019,0,10145.0,"{'status': '200', 'available': True, 'url': 'http://web.archive.org/web/20220127111524/https://www.loupusbookkeeping.com/', 'timestamp': '20220127111524'}",0.0,0,North Carolina,False,False,False,False,False,True,False,False,False,0.0,False,1.0
