;nr.;company;Founded Date;website;Headquarters Location;Industry Groups;Number of Funding Rounds;Funding Status;Last Funding Date;Last Funding Amount Currency (in USD);Last Funding Type;Total Funding Amount Currency (in USD);IPO Status;IPO Date;Valuation at IPO Currency (in USD);IPqwery - Patents Granted;IPqwery - Trademarks Registered;IPqwery - Most Popular Patent Class;age;founding_year;org_uuid
x;664;Remble;10.12.20;https://www.remble.com/;Tulsa, Oklahoma, United States;Health Care;1.0;Seed;26.07.22;1400000.0;Pre-Seed;1400000.0;Private;;;;;;2;2020;11340
;672;Nurse Disrupted;01.01.20;https://www.nursedisrupted.com/;Fitchburg, Wisconsin, United States;Health Care;2.0;Seed;25.04.23;1500000.0;Seed;2200000.0;Private;;;;;;3;2020;13042
;676;Radiant;01.01.19;https://radiantnuclear.com/;El Segundo, California, United States;Energy, Sustainability;4.0;Early Stage Venture;18.04.23;40000000.0;Series B;53819987.0;Private;;;2.0;2.0;Nuclear Physics;;;
x;688;Akelos;01.01.18;http://www.akelosinc.com/;New York, New York, United States;Biotechnology, Health Care, Science and Engineering;2.0;Seed;22.01.20;1757406.0;Grant;2052406.0;Private;;;0.0;1.0;;5;2018;12878
;762;ExaCare;01.01.22;http://exacare.com;New York, New York, United States;Health Care, Software;3.0;Seed;02.01.23;5500000.0;Seed;12000000.0;Private;;;;;;1;2022;3804
;793;Frontegg;01.10.19;https://frontegg.com/;Mountain View, California, United States;Professional Services, Software;3.0;Early Stage Venture;28.07.22;40000000.0;Series B;70000000.0;Private;;;;;;4;2019;7065
;796;Relay Commerce;01.01.21;https://www.relaycommerce.io;New York, New York, United States;Commerce and Shopping, Internet Services, Software;3.0;Seed;01.05.22;20000000.0;Debt Financing;27000000.0;Private;;;;;;2;2021;4952
;822;Cognitive Talent Solutions;08.08.18;http://www.cognitivetalentsolutions.com/;Palo Alto, California, United States;Administrative Services, Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software;4.0;Seed;01.04.22;550000.0;Seed;1200000.0;Private;;;;;;5;2018;11371
x;832;Tava Health;20.11.19;https://www.tavahealth.com/;Salt Lake City, Utah, United States;Health Care;2.0;Early Stage Venture;09.12.21;10000000.0;Series A;13000000.0;Private;;;0;1.0;;4;2019;2401
x;832;Kumospace;01.01.20;https://www.kumospace.com/;Long Island City, New York, United States;Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software;2.0;Early Stage Venture;08.08.22;21892485.0;Series A;24892485.0;Private;;;;;;3;2020;12555
x;848;Salesroom;02.01.21;https://www.salesroom.com;Natick, Massachusetts, United States;Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Science and Engineering, Software;2.0;Seed;22.06.22;8500000.0;Seed;8500000.0;Private;;;;;;2;2021;4696
;879;Minus Materials;01.01.21;https://www.minusmaterials.com/;Boulder, Colorado, United States;Data and Analytics, Design, Manufacturing, Real Estate;1.0;Seed;21.09.22;275000.0;Seed;275000.0;Private;;;;;;2;2021;9715
;882;Virion Therapeutics;01.01.18;https://www.viriontx.com;Newark, Delaware, United States;Biotechnology, Health Care, Science and Engineering;6.0;;01.01.21;;Venture - Series Unknown;14075858.0;Private;;;;;;5;2018;7606
